id,x,y,class,file,thumbnail
10000,7.906855022700476,-0.2853405291244715,-1,img/10000.jpg,img/thumbs/10000.jpg
10011,-3.676499771684244,-8.88955821980435,-1,img/10011.jpg,img/thumbs/10011.jpg
10087,6.872217228299259,0.3403423001156379,-1,img/10087.jpg,img/thumbs/10087.jpg
10096,-7.712106535642314,5.638701766478105,-1,img/10096.jpg,img/thumbs/10096.jpg
10126,-2.3421480569215847,-3.369447889698799,-1,img/10126.jpg,img/thumbs/10126.jpg
10156,-8.436599401161008,10.919144160486034,0,img/10156.jpg,img/thumbs/10156.jpg
10158,1.7824363822988651,-5.683888726943722,-1,img/10158.jpg,img/thumbs/10158.jpg
10214,1.720935190214795,-3.518774235131285,-1,img/10214.jpg,img/thumbs/10214.jpg
10314,5.585544877203204,-3.2706424176608175,-1,img/10314.jpg,img/thumbs/10314.jpg
10339,6.6123818930031,0.11052546919272,-1,img/10339.jpg,img/thumbs/10339.jpg
10357,5.907614265852551,4.118055732627348,-1,img/10357.jpg,img/thumbs/10357.jpg
10379,3.776384773832136,-4.46758862355153,-1,img/10379.jpg,img/thumbs/10379.jpg
10408,-0.15250342764023472,6.855274366530113,-1,img/10408.jpg,img/thumbs/10408.jpg
10450,11.04002261737791,2.0545881906465358,-1,img/10450.jpg,img/thumbs/10450.jpg
10456,1.4695983567292377,-0.2038190351275395,-1,img/10456.jpg,img/thumbs/10456.jpg
10457,-1.2864821373838085,5.58036929389775,-1,img/10457.jpg,img/thumbs/10457.jpg
10459,-6.180490888392602,5.119290184345404,-1,img/10459.jpg,img/thumbs/10459.jpg
10479,-7.833876665277885,-1.9537264914903094,-1,img/10479.jpg,img/thumbs/10479.jpg
10497,-5.69335114520518,-1.3064726273650513,-1,img/10497.jpg,img/thumbs/10497.jpg
10498,2.929245571897199,-2.9327156428700203,-1,img/10498.jpg,img/thumbs/10498.jpg
10517,0.49830585078569467,-0.9698579902924259,-1,img/10517.jpg,img/thumbs/10517.jpg
10518,0.8547503932465873,6.873313361179232,-1,img/10518.jpg,img/thumbs/10518.jpg
10520,2.83468760745448,3.439273432910144,-1,img/10520.jpg,img/thumbs/10520.jpg
10521,3.4925245452977514,5.703112822273338,-1,img/10521.jpg,img/thumbs/10521.jpg
10535,0.7958029753375947,11.410132324979134,-1,img/10535.jpg,img/thumbs/10535.jpg
10537,2.750835429930546,-0.8153395790981685,-1,img/10537.jpg,img/thumbs/10537.jpg
10584,-4.946546336635838,0.2362887705026811,-1,img/10584.jpg,img/thumbs/10584.jpg
10624,-1.7575224404797547,-2.410262566107087,-1,img/10624.jpg,img/thumbs/10624.jpg
10625,-5.900950142162339,-0.8354636717564127,-1,img/10625.jpg,img/thumbs/10625.jpg
10626,0.2275513105944774,2.8210818252611167,-1,img/10626.jpg,img/thumbs/10626.jpg
10627,-4.6058004054946,-1.8134026341541825,-1,img/10627.jpg,img/thumbs/10627.jpg
10668,1.3857782389863165,-2.9178151047324166,-1,img/10668.jpg,img/thumbs/10668.jpg
10670,1.832510858465301,-1.429528843225988,-1,img/10670.jpg,img/thumbs/10670.jpg
10687,-1.4876946307585674,10.373222873920827,-1,img/10687.jpg,img/thumbs/10687.jpg
